document_id,title,file_name,relative_path,document_type,source_group,asset_ids,tags,word_count,character_count,summary,indexed_at
COMP-001_Compliance_Checklist,COMP-001: PlantMind Demo Compliance Checklist,COMP-001_Compliance_Checklist.md,documents/compliance/COMP-001_Compliance_Checklist.md,Compliance Checklist,compliance,C-201;HX-301;P-101,C-201;HX-301;P-101,706,5172,"COMP-001: PlantMind Demo Compliance Checklist Document ID: COMP-001 Document Type: Compliance Checklist Assets Covered: P-101, C-201, HX-301 Review Date: 2026-03-10 Reviewer: Demo Compliance Officer Checklist Status: Open Gaps Found --- 1. Compliance Context This checklist evalua...",2026-07-01T12:38:23
PID-001,PID-001 Demo Process Line,PID-001_Demo_Process_Line.metadata.json,documents/drawings/PID-001_Demo_Process_Line.metadata.json,P&ID Drawing,drawings,C-201;HX-301;P-101,C-201;FT-101;HX-301;P-101;PID-001;PT-201;TT-301;V-101;V-201,472,4765,"PID-001 is a simplified P&ID-style demo drawing showing a process line from Feed Line through V-101, P-101 Pump, C-201 Compressor, HX-301 Heat Exchanger, V-201, and Outlet Line. It includes FT-101 flow transmitter, PT-201 pressure transmitter, and TT-301 temperature transmitter.",2026-07-01T12:38:23
PID-001_Demo_Process_Line,PID-001_Demo_Process_Line,PID-001_Demo_Process_Line.png,documents/drawings/PID-001_Demo_Process_Line.png,P&ID Drawing Image,drawings,,,0,0,P&ID-style drawing image used for PlantMind AI demo process line.,2026-07-01T12:38:23
INC-HX301-001_Low_Heat_Transfer_Efficiency,INC-HX301-001: Low Heat Transfer Efficiency,INC-HX301-001_Low_Heat_Transfer_Efficiency.md,documents/incident_reports/INC-HX301-001_Low_Heat_Transfer_Efficiency.md,Incident Report,incident_reports,HX-301,HX-301,455,3270,INC-HX301-001: Low Heat Transfer Efficiency Document ID: INC-HX301-001 Asset ID: HX-301 Asset Name: Feed Preheater Heat Exchanger Asset Type: Heat Exchanger Document Type: Incident Report Incident Date: 2026-03-07 Reported By: Operations Team Incident Status: Open for Maintenance...,2026-07-01T12:38:23
INC-P101-001_High_Vibration_Event,INC-P101-001: High Vibration Event,INC-P101-001_High_Vibration_Event.md,documents/incident_reports/INC-P101-001_High_Vibration_Event.md,Incident Report,incident_reports,P-101,P-101,448,3248,INC-P101-001: High Vibration Event Document ID: INC-P101-001 Asset ID: P-101 Asset Name: Cooling Water Circulation Pump Asset Type: Pump Document Type: Incident Report Incident Date: 2026-01-22 Reported By: Operations Team Incident Status: Open for RCA --- 1. Incident Summary P-1...,2026-07-01T12:38:23
IR-C201-001_Compressor_Monthly_Inspection,IR-C201-001: Compressor Monthly Inspection,IR-C201-001_Compressor_Monthly_Inspection.md,documents/inspection_reports/IR-C201-001_Compressor_Monthly_Inspection.md,Inspection Report,inspection_reports,C-201,C-201,405,2892,IR-C201-001: Compressor Monthly Inspection Document ID: IR-C201-001 Asset ID: C-201 Asset Name: Process Air Compressor Asset Type: Compressor Document Type: Inspection Report Inspection Date: 2026-02-15 Inspector: Demo Inspector Inspection Status: Completed --- 1. Inspection Purp...,2026-07-01T12:38:23
IR-GEN-001_Safety_Evidence_Audit,IR-GEN-001: Safety Evidence Audit,IR-GEN-001_Safety_Evidence_Audit.md,documents/inspection_reports/IR-GEN-001_Safety_Evidence_Audit.md,Inspection Report,inspection_reports,C-201;HX-301;P-101,C-201;HX-301;P-101,539,4087,IR-GEN-001: Safety Evidence Audit Document ID: IR-GEN-001 Asset ID: GENERAL Asset Name: PlantMind Demo Assets Asset Type: General Audit Document Type: Inspection Report Inspection Date: 2026-03-10 Inspector: Demo Safety Auditor Inspection Status: Completed --- 1. Audit Purpose Th...,2026-07-01T12:38:23
IR-HX301-001_Heat_Exchanger_Performance_Inspection,IR-HX301-001: Heat Exchanger Performance Inspection,IR-HX301-001_Heat_Exchanger_Performance_Inspection.md,documents/inspection_reports/IR-HX301-001_Heat_Exchanger_Performance_Inspection.md,Inspection Report,inspection_reports,HX-301,HX-301,426,2968,IR-HX301-001: Heat Exchanger Performance Inspection Document ID: IR-HX301-001 Asset ID: HX-301 Asset Name: Feed Preheater Heat Exchanger Asset Type: Heat Exchanger Document Type: Inspection Report Inspection Date: 2026-03-05 Inspector: Demo Inspector Inspection Status: Completed...,2026-07-01T12:38:23
IR-P101-001_Pump_Vibration_Inspection,IR-P101-001: Pump Vibration Inspection,IR-P101-001_Pump_Vibration_Inspection.md,documents/inspection_reports/IR-P101-001_Pump_Vibration_Inspection.md,Inspection Report,inspection_reports,P-101,P-101,328,2309,IR-P101-001: Pump Vibration Inspection Document ID: IR-P101-001 Asset ID: P-101 Asset Name: Cooling Water Circulation Pump Asset Type: Pump Document Type: Inspection Report Inspection Date: 2026-01-21 Inspector: Demo Inspector Inspection Status: Completed --- 1. Inspection Purpos...,2026-07-01T12:38:23
IR-P101-002_Pump_Bearing_Temperature_Check,IR-P101-002: Pump Bearing Temperature Check,IR-P101-002_Pump_Bearing_Temperature_Check.md,documents/inspection_reports/IR-P101-002_Pump_Bearing_Temperature_Check.md,Inspection Report,inspection_reports,P-101,P-101,357,2547,IR-P101-002: Pump Bearing Temperature Check Document ID: IR-P101-002 Asset ID: P-101 Asset Name: Cooling Water Circulation Pump Asset Type: Pump Document Type: Inspection Report Inspection Date: 2026-01-22 Inspector: Demo Inspector Inspection Status: Completed --- 1. Inspection P...,2026-07-01T12:38:23
