answer_f1,answer_precision,answer_recall,category,citation_coverage,citation_precision,expected_entities,expected_rules,f1,latency_ms,metric_group,precision,predicted_entities,predicted_rules,question_id,recall,recall_at_5,unsupported_claim_rate
,,,entity_extraction,,,P-101,,1.0,0.015,entity_extraction,1.0,P-101,,Q-ENTITY-001,1.0,,
,,,entity_extraction,,,C-201,,1.0,0.008,entity_extraction,1.0,C-201,,Q-ENTITY-002,1.0,,
,,,entity_extraction,,,HX-301,,1.0,0.006,entity_extraction,1.0,HX-301,,Q-ENTITY-003,1.0,,
,,,entity_extraction,,,P101-EV-001,,0.6667,0.006,entity_extraction,0.5,P-101;P101-EV-001,,Q-ENTITY-004,1.0,,
,,,entity_extraction,,,P101-EV-002,,0.6667,0.006,entity_extraction,0.5,P-101;P101-EV-002,,Q-ENTITY-005,1.0,,
,,,entity_extraction,,,P101-EV-004,,1.0,0.006,entity_extraction,1.0,P101-EV-004,,Q-ENTITY-006,1.0,,
,,,rag,,,P-101,,1.0,0.005,entity_extraction,1.0,P-101,,Q-RAG-001,1.0,,
,,,rag,,,P-101,,1.0,0.005,entity_extraction,1.0,P-101,,Q-RAG-002,1.0,,
,,,rag,,,P-101,,1.0,0.005,entity_extraction,1.0,P-101,,Q-RAG-003,1.0,,
,,,rag,,,HX-301,,1.0,0.005,entity_extraction,1.0,HX-301,,Q-RAG-004,1.0,,
,,,rag,,,C-201,,1.0,0.006,entity_extraction,1.0,C-201,,Q-RAG-005,1.0,,
,,,rag,,,P-101,,1.0,0.005,entity_extraction,1.0,P-101,,Q-RAG-006,1.0,,
,,,compliance,,,C001,,0.0,0.005,entity_extraction,0.0,,,Q-COMP-001,0.0,,
,,,compliance,,,C002,,0.0,0.005,entity_extraction,0.0,,,Q-COMP-002,0.0,,
,,,compliance,,,C003,,0.0,0.004,entity_extraction,0.0,,,Q-COMP-003,0.0,,
,,,compliance,,,C004,,0.0,0.005,entity_extraction,0.0,,,Q-COMP-004,0.0,,
,,,compliance,,,C005,,0.0,0.004,entity_extraction,0.0,,,Q-COMP-005,0.0,,
,,,compliance,,,C008,,0.0,0.005,entity_extraction,0.0,,,Q-COMP-006,0.0,,
,,,rca,,,RCA-P101-001,,0.0,0.005,entity_extraction,0.0,P-101,,Q-RCA-001,0.0,,
,,,rca,,,P-101,,1.0,0.005,entity_extraction,1.0,P-101,,Q-RCA-002,1.0,,
,,,rca,,,P101-EV-003,,0.0,0.005,entity_extraction,0.0,P-101,,Q-RCA-003,0.0,,
,,,rca,,,WO-P101-004,,0.0,0.005,entity_extraction,0.0,P-101,,Q-RCA-004,0.0,,
,,,rca,,,P101-EV-004,,0.0,0.005,entity_extraction,0.0,P-101,,Q-RCA-005,0.0,,
,,,rca,,,WO-P101-002,,0.0,0.005,entity_extraction,0.0,P-101,,Q-RCA-006,0.0,,
,,,latency,,,P-101,,1.0,0.005,entity_extraction,1.0,P-101,,Q-LAT-001,1.0,,
,,,latency,,,C-201,,1.0,0.005,entity_extraction,1.0,C-201,,Q-LAT-002,1.0,,
,,,latency,,,HX-301,,1.0,0.005,entity_extraction,1.0,HX-301,,Q-LAT-003,1.0,,
,,,latency,,,C004,,0.0,0.005,entity_extraction,0.0,,,Q-LAT-004,0.0,,
,,,latency,,,RCA-P101-001,,0.6667,0.005,entity_extraction,0.5,P-101;RCA-P101-001,,Q-LAT-005,1.0,,
,,,latency,,,WO-P101-001,,0.0,0.005,entity_extraction,0.0,P-101,,Q-LAT-006,0.0,,
1.0,1.0,1.0,entity_extraction,,,,,,0.009,rag,,,,Q-ENTITY-001,,1.0,
1.0,1.0,1.0,entity_extraction,,,,,,0.004,rag,,,,Q-ENTITY-002,,1.0,
1.0,1.0,1.0,entity_extraction,,,,,,0.003,rag,,,,Q-ENTITY-003,,1.0,
1.0,1.0,1.0,entity_extraction,,,,,,0.002,rag,,,,Q-ENTITY-004,,1.0,
1.0,1.0,1.0,entity_extraction,,,,,,0.002,rag,,,,Q-ENTITY-005,,1.0,
1.0,1.0,1.0,entity_extraction,,,,,,0.002,rag,,,,Q-ENTITY-006,,1.0,
1.0,1.0,1.0,rag,,,,,,0.002,rag,,,,Q-RAG-001,,1.0,
1.0,1.0,1.0,rag,,,,,,0.002,rag,,,,Q-RAG-002,,1.0,
1.0,1.0,1.0,rag,,,,,,0.001,rag,,,,Q-RAG-003,,1.0,
1.0,1.0,1.0,rag,,,,,,0.001,rag,,,,Q-RAG-004,,1.0,
1.0,1.0,1.0,rag,,,,,,0.001,rag,,,,Q-RAG-005,,1.0,
1.0,1.0,1.0,rag,,,,,,0.002,rag,,,,Q-RAG-006,,1.0,
1.0,1.0,1.0,compliance,,,,,,0.002,rag,,,,Q-COMP-001,,1.0,
1.0,1.0,1.0,compliance,,,,,,0.001,rag,,,,Q-COMP-002,,1.0,
1.0,1.0,1.0,compliance,,,,,,0.001,rag,,,,Q-COMP-003,,1.0,
1.0,1.0,1.0,compliance,,,,,,0.001,rag,,,,Q-COMP-004,,1.0,
1.0,1.0,1.0,compliance,,,,,,0.001,rag,,,,Q-COMP-005,,1.0,
1.0,1.0,1.0,compliance,,,,,,0.001,rag,,,,Q-COMP-006,,1.0,
1.0,1.0,1.0,rca,,,,,,0.001,rag,,,,Q-RCA-001,,1.0,
1.0,1.0,1.0,rca,,,,,,0.002,rag,,,,Q-RCA-002,,1.0,
1.0,1.0,1.0,rca,,,,,,0.001,rag,,,,Q-RCA-003,,1.0,
1.0,1.0,1.0,rca,,,,,,0.001,rag,,,,Q-RCA-004,,1.0,
1.0,1.0,1.0,rca,,,,,,0.002,rag,,,,Q-RCA-005,,1.0,
1.0,1.0,1.0,rca,,,,,,0.001,rag,,,,Q-RCA-006,,1.0,
1.0,1.0,1.0,latency,,,,,,0.001,rag,,,,Q-LAT-001,,1.0,
1.0,1.0,1.0,latency,,,,,,0.001,rag,,,,Q-LAT-002,,1.0,
1.0,1.0,1.0,latency,,,,,,0.002,rag,,,,Q-LAT-003,,1.0,
1.0,1.0,1.0,latency,,,,,,0.001,rag,,,,Q-LAT-004,,1.0,
1.0,1.0,1.0,latency,,,,,,0.001,rag,,,,Q-LAT-005,,1.0,
1.0,1.0,1.0,latency,,,,,,0.001,rag,,,,Q-LAT-006,,1.0,
,,,,,,,C001,1.0,0.012,compliance,1.0,,C001,Q-COMP-001,1.0,,
,,,,,,,C002,1.0,0.007,compliance,1.0,,C002,Q-COMP-002,1.0,,
,,,,,,,C003,1.0,0.005,compliance,1.0,,C003,Q-COMP-003,1.0,,
,,,,,,,C004,1.0,0.005,compliance,1.0,,C004,Q-COMP-004,1.0,,
,,,,,,,C005,1.0,0.005,compliance,1.0,,C005,Q-COMP-005,1.0,,
,,,,,,,C008,1.0,0.005,compliance,1.0,,C008,Q-COMP-006,1.0,,
,,,,,,RCA-P101-001,,1.0,0.008,rca,1.0,RCA-P101-001,,Q-RCA-001,1.0,,
,,,,,,P-101,,0.0,0.005,rca,0.0,RCA-P101-001,,Q-RCA-002,0.0,,
,,,,,,P101-EV-003,,0.6667,0.003,rca,0.5,P101-EV-003;RCA-P101-001,,Q-RCA-003,1.0,,
